sample,samples,TCGA_GTEX_main_category,_sample_type,_study,_primary_site,CD19,TNFRSF17,MS4A1,CD22,GPRC5D,SLAMF7,ERBB2,EGFR,MSLN,CD276,CD19_level,TNFRSF17_level,MS4A1_level,CD22_level,GPRC5D_level,SLAMF7_level,ERBB2_level,EGFR_level,MSLN_level,CD276_level,high_target_count,coexpress_2plus
TCGA-FF-A7CW-01,TCGA-FF-A7CW-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,13.31,10.05,14.58,13.14,1.439,13.3,8.256,6.238,4.827,8.748,High,High,High,High,Low,High,Low,Low,Mid,Low,5,Yes
TCGA-GS-A9TV-01,TCGA-GS-A9TV-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,13.27,11.44,15.57,14.2,4.031,16.03,9.646,10.42,4.772,11.38,High,High,High,High,Mid,High,Low,Low,Mid,Mid,5,Yes
TCGA-G8-6325-01,TCGA-G8-6325-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,13.19,9.153,14.23,11.73,0.0,14.15,8.469,7.442,6.274,11.17,High,High,High,High,Low,High,Low,Low,Mid,Mid,5,Yes
TCGA-GS-A9TW-01,TCGA-GS-A9TW-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,13.15,10.91,15.28,13.37,0.7715,13.05,8.292,8.353,1.937,11.09,High,High,High,High,Low,High,Low,Low,Low,Mid,5,Yes
TCGA-FA-A7DS-01,TCGA-FA-A7DS-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,13.07,6.012,13.4,12.78,0.8275,11.83,8.821,7.516,3.468,9.048,High,High,High,High,Low,High,Low,Low,Mid,Low,5,Yes
TCGA-FA-A4BB-01,TCGA-FA-A4BB-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,13.06,8.013,14.58,14.11,4.785,13.23,8.219,9.351,7.958,9.921,High,High,High,High,High,High,Low,Low,High,Low,7,Yes
TCGA-GS-A9TZ-01,TCGA-GS-A9TZ-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,13.03,8.998,15.64,12.06,0.7616,14.17,6.979,8.869,3.224,9.901,High,High,High,High,Low,High,Low,Low,Mid,Low,5,Yes
TCGA-GR-7353-01,TCGA-GR-7353-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,13.0,10.88,15.19,15.29,4.369,12.28,9.954,7.289,1.522,9.722,High,High,High,High,Mid,High,Low,Low,Low,Low,5,Yes
TCGA-GR-A4D9-01,TCGA-GR-A4D9-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,12.95,7.921,15.74,13.6,3.52,12.13,7.986,7.75,1.792,9.845,High,High,High,High,Mid,High,Low,Low,Low,Low,5,Yes
TCGA-FA-A6HO-01,TCGA-FA-A6HO-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,12.92,10.44,14.64,13.78,1.221,13.72,8.382,9.446,4.92,9.082,High,High,High,High,Low,High,Low,Low,Mid,Low,5,Yes
TCGA-GS-A9U3-01,TCGA-GS-A9U3-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,12.86,9.605,13.55,13.6,0.7785,14.51,8.78,8.551,5.791,10.26,High,High,High,High,Low,High,Low,Low,Mid,Low,5,Yes
TCGA-FA-A4XK-01,TCGA-FA-A4XK-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,12.74,5.498,15.57,13.61,1.156,10.38,8.617,7.201,2.227,11.59,High,High,High,High,Low,High,Low,Low,Low,Mid,5,Yes
TCGA-GS-A9TQ-01,TCGA-GS-A9TQ-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,12.7,9.24,15.22,14.47,0.0,10.91,8.427,6.343,2.005,8.994,High,High,High,High,Low,High,Low,Low,Low,Low,5,Yes
TCGA-FA-A86F-01,TCGA-FA-A86F-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,12.68,5.765,14.05,13.46,0.0,12.83,8.047,8.598,3.442,8.794,High,High,High,High,Low,High,Low,Low,Mid,Low,5,Yes
TCGA-FF-A7CQ-01,TCGA-FF-A7CQ-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,12.52,8.317,14.37,12.95,3.235,13.54,8.165,7.308,2.68,8.902,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-FF-8043-01,TCGA-FF-8043-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,12.22,14.4,16.12,12.0,0.0,13.2,8.959,6.77,2.532,10.07,High,High,High,High,Low,High,Low,Low,Low,Low,5,Yes
TCGA-GR-A4D4-01,TCGA-GR-A4D4-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,12.04,10.4,16.5,15.77,1.787,8.696,9.573,9.303,2.403,10.73,High,High,High,High,Low,Mid,Low,Low,Low,Mid,4,Yes
TCGA-GR-A4D5-01,TCGA-GR-A4D5-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,11.95,8.443,16.06,13.32,3.303,12.54,8.921,8.752,3.303,10.99,High,High,High,High,Mid,High,Low,Low,Mid,Mid,5,Yes
TCGA-GS-A9U4-01,TCGA-GS-A9U4-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,11.8,9.587,14.12,12.62,1.39,13.71,8.585,7.647,1.779,11.53,High,High,High,High,Low,High,Low,Low,Low,Mid,5,Yes
TCGA-FF-A7CR-01,TCGA-FF-A7CR-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,11.72,5.94,14.3,12.47,3.123,14.45,7.941,8.219,3.411,8.933,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-GS-A9TT-01,TCGA-GS-A9TT-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,11.53,6.329,14.61,12.74,1.495,11.09,8.922,6.692,2.938,8.77,High,High,High,High,Low,High,Low,Low,Mid,Low,5,Yes
TCGA-GS-A9TU-01,TCGA-GS-A9TU-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,11.09,10.24,13.35,11.43,3.233,13.6,8.736,8.765,5.727,10.35,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-G8-6326-01,TCGA-G8-6326-01,TCGA Diffuse Large B-Cell Lymphoma,Primary Tumor,TCGA,Lymphatic tissue,9.331,6.883,9.176,9.147,2.482,15.33,8.821,7.681,5.922,11.3,High,High,High,High,Mid,High,Low,Low,Mid,Mid,5,Yes
TCGA-V5-A7RC-06,TCGA-V5-A7RC-06,TCGA Esophageal Carcinoma,Metastatic,TCGA,Esophagus,2.362,4.393,4.19,6.503,7.09,7.719,13.17,13.97,11.31,13.55,Low,Mid,Mid,Mid,High,Mid,High,High,High,High,5,Yes
TCGA-IG-A4QT-01,TCGA-IG-A4QT-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,12.09,9.882,14.68,13.53,7.551,13.24,9.376,10.09,5.471,9.827,High,High,High,High,High,High,Low,Low,Mid,Low,6,Yes
TCGA-Z6-A8JD-01,TCGA-Z6-A8JD-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,9.455,5.45,11.99,10.94,2.683,8.843,11.81,15.44,7.55,14.14,High,High,High,High,Mid,Mid,Mid,High,Mid,High,6,Yes
TCGA-IG-A7DP-01,TCGA-IG-A7DP-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,9.256,8.905,10.78,9.835,4.507,12.69,12.04,11.55,6.087,11.53,High,High,High,High,Mid,High,Mid,Mid,Mid,Mid,5,Yes
TCGA-IG-A4P3-01,TCGA-IG-A4P3-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,9.255,6.844,11.54,10.31,6.942,11.41,14.36,14.83,5.954,12.11,High,High,High,High,High,High,High,High,Mid,High,9,Yes
TCGA-L5-A893-01,TCGA-L5-A893-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,9.005,6.203,11.71,11.29,5.879,9.573,13.66,12.99,11.61,10.83,High,High,High,High,High,High,High,High,High,Mid,9,Yes
TCGA-L5-A8NU-01,TCGA-L5-A8NU-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,8.839,9.372,10.34,9.404,4.853,12.49,12.62,11.54,9.083,12.08,High,High,High,High,High,High,Mid,Mid,High,Mid,7,Yes
TCGA-VR-A8EX-01,TCGA-VR-A8EX-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,8.627,6.295,11.7,10.58,6.991,8.756,14.51,14.18,9.234,12.44,High,High,High,High,High,Mid,High,High,High,High,9,Yes
TCGA-L5-A4OQ-01,TCGA-L5-A4OQ-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,8.51,5.855,11.6,10.65,6.04,8.809,14.22,12.67,8.368,12.61,High,High,High,High,High,Mid,High,High,High,High,9,Yes
TCGA-LN-A49W-01,TCGA-LN-A49W-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,8.366,7.37,10.38,9.348,4.984,11.35,12.49,14.99,4.937,13.69,High,High,High,High,High,High,Mid,High,Mid,High,8,Yes
TCGA-IC-A6RF-01,TCGA-IC-A6RF-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,8.313,5.633,10.96,10.44,6.555,8.6,14.13,14.15,8.372,11.26,High,High,High,High,High,Mid,High,High,High,Mid,8,Yes
TCGA-JY-A93D-01,TCGA-JY-A93D-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,8.156,7.501,11.08,9.986,3.737,10.88,12.82,12.1,8.795,12.03,High,High,High,High,Mid,High,Mid,Mid,High,Mid,6,Yes
TCGA-L5-A4OO-01,TCGA-L5-A4OO-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,8.081,8.081,9.875,8.345,5.63,11.41,13.94,12.12,12.91,12.16,High,High,High,Mid,High,High,High,Mid,High,High,8,Yes
TCGA-JY-A93E-01,TCGA-JY-A93E-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,8.062,6.56,10.76,9.331,5.142,10.37,13.83,12.72,11.89,11.84,High,High,High,High,High,High,High,High,High,Mid,9,Yes
TCGA-L5-A4OS-01,TCGA-L5-A4OS-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,8.058,7.786,9.66,8.439,5.929,11.39,14.0,12.29,4.672,13.33,High,High,High,Mid,High,High,High,Mid,Mid,High,7,Yes
TCGA-IG-A3YA-01,TCGA-IG-A3YA-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.922,5.049,10.62,9.428,6.252,9.964,12.14,13.91,4.655,12.3,High,High,High,High,High,High,Mid,High,Mid,High,8,Yes
TCGA-LN-A9FO-01,TCGA-LN-A9FO-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.897,6.142,8.631,8.795,7.798,11.29,13.75,16.32,6.006,14.0,High,High,High,High,High,High,High,High,Mid,High,9,Yes
TCGA-L5-A8NV-01,TCGA-L5-A8NV-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.819,7.184,10.78,9.676,5.271,10.63,12.72,12.68,12.39,11.29,High,High,High,High,High,High,Mid,High,High,Mid,8,Yes
TCGA-X8-AAAR-01,TCGA-X8-AAAR-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.788,7.187,10.51,10.29,4.841,9.144,14.54,12.38,14.67,11.1,High,High,High,High,High,High,High,Mid,High,Mid,8,Yes
TCGA-2H-A9GL-01,TCGA-2H-A9GL-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.785,6.159,11.25,9.59,6.073,10.42,10.91,13.46,9.059,11.61,High,High,High,High,High,High,Low,High,High,Mid,8,Yes
TCGA-R6-A6KZ-01,TCGA-R6-A6KZ-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.753,5.434,6.024,7.729,6.898,9.107,13.87,12.34,7.748,12.11,High,High,Mid,Mid,High,High,High,Mid,Mid,High,6,Yes
TCGA-2H-A9GR-01,TCGA-2H-A9GR-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.751,7.583,9.485,9.003,6.99,10.05,13.53,16.62,12.34,12.02,High,High,High,High,High,High,High,High,High,Mid,9,Yes
TCGA-LN-A7HY-01,TCGA-LN-A7HY-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.705,6.429,3.877,5.107,4.527,9.573,12.5,15.31,8.771,12.74,High,High,Mid,Low,Mid,High,Mid,High,High,High,6,Yes
TCGA-L5-A8NG-01,TCGA-L5-A8NG-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.603,7.178,10.32,9.556,6.158,10.84,15.69,13.19,12.18,11.75,High,High,High,High,High,High,High,High,High,Mid,9,Yes
TCGA-JY-A939-01,TCGA-JY-A939-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.597,7.914,9.532,8.214,4.532,11.69,12.23,12.11,11.53,11.36,High,High,High,Mid,Mid,High,Mid,Mid,High,Mid,5,Yes
TCGA-L5-A43C-01,TCGA-L5-A43C-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.558,7.944,9.19,7.83,5.188,10.53,11.49,11.79,7.574,13.36,High,High,High,Mid,High,High,Mid,Mid,Mid,High,6,Yes
TCGA-IC-A6RE-01,TCGA-IC-A6RE-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.436,5.359,9.05,8.585,3.971,9.411,14.8,11.95,12.22,12.05,High,High,High,Mid,Mid,High,High,Mid,High,Mid,6,Yes
TCGA-Q9-A6FW-01,TCGA-Q9-A6FW-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.227,4.849,9.509,8.531,6.249,9.323,14.14,13.54,13.81,12.01,High,High,High,Mid,High,High,High,High,High,Mid,8,Yes
TCGA-VR-A8Q7-01,TCGA-VR-A8Q7-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.222,4.835,6.386,7.871,8.409,10.68,14.37,17.09,13.22,14.6,High,Mid,Mid,Mid,High,High,High,High,High,High,7,Yes
TCGA-JY-A938-01,TCGA-JY-A938-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,7.007,7.863,8.174,8.155,5.58,11.4,15.36,13.03,12.94,11.74,High,High,High,Mid,High,High,High,High,High,Mid,8,Yes
TCGA-L5-A4OF-01,TCGA-L5-A4OF-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.878,5.652,8.198,7.661,7.304,8.466,13.68,14.58,11.01,12.43,High,High,High,Mid,High,Mid,High,High,High,High,8,Yes
TCGA-Z6-A8JE-01,TCGA-Z6-A8JE-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.784,5.986,3.51,5.888,6.889,8.422,14.04,13.56,6.377,13.0,High,High,Mid,Mid,High,Mid,High,High,Mid,High,6,Yes
TCGA-2H-A9GK-01,TCGA-2H-A9GK-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.758,8.384,6.992,6.88,6.393,11.98,12.87,11.9,8.35,13.53,High,High,High,Mid,High,High,Mid,Mid,High,High,7,Yes
TCGA-L5-A4OU-01,TCGA-L5-A4OU-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.731,5.298,9.859,8.365,6.202,10.21,15.55,12.67,8.957,12.2,High,High,High,Mid,High,High,High,High,High,High,9,Yes
TCGA-L5-A8NT-01,TCGA-L5-A8NT-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.642,4.794,9.153,8.458,5.683,8.849,13.21,13.24,11.34,12.17,High,Mid,High,Mid,High,Mid,High,High,High,High,7,Yes
TCGA-LN-A49K-01,TCGA-LN-A49K-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.556,5.452,7.863,6.251,6.51,9.947,12.22,14.51,4.485,12.4,High,High,High,Mid,High,High,Mid,High,Mid,High,7,Yes
TCGA-LN-A49X-01,TCGA-LN-A49X-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.492,3.132,9.122,8.154,4.331,9.44,12.38,15.71,2.802,13.24,High,Mid,High,Mid,Mid,High,Mid,High,Mid,High,5,Yes
TCGA-2H-A9GG-01,TCGA-2H-A9GG-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.462,7.033,8.498,7.913,3.855,9.852,10.27,10.74,7.281,10.82,High,High,High,Mid,Mid,High,Low,Mid,Mid,Mid,4,Yes
TCGA-Z6-A9VB-01,TCGA-Z6-A9VB-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.451,5.443,8.092,7.758,9.185,8.957,13.39,14.17,4.595,12.45,High,High,High,Mid,High,Mid,High,High,Mid,High,7,Yes
TCGA-2H-A9GI-01,TCGA-2H-A9GI-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.304,9.06,6.606,5.029,6.117,10.4,15.79,10.73,14.06,11.92,High,High,Mid,Low,High,High,High,Mid,High,Mid,6,Yes
TCGA-LN-A4A3-01,TCGA-LN-A4A3-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.263,3.535,9.005,8.364,4.844,8.302,12.95,17.64,5.384,12.82,High,Mid,High,Mid,High,Mid,Mid,High,Mid,High,5,Yes
TCGA-R6-A8W5-01,TCGA-R6-A8W5-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.194,7.387,5.408,5.931,5.652,11.19,18.73,11.15,11.29,12.39,High,High,Mid,Mid,High,High,High,Mid,High,High,7,Yes
TCGA-L5-A8NL-01,TCGA-L5-A8NL-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.188,3.505,4.763,7.454,4.875,7.423,15.26,11.94,9.686,12.94,High,Mid,Mid,Mid,High,Mid,High,Mid,High,High,5,Yes
TCGA-IG-A3YC-01,TCGA-IG-A3YC-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.18,6.057,7.736,7.686,2.228,10.8,12.72,13.89,10.38,12.03,High,High,High,Mid,Mid,High,Mid,High,High,Mid,6,Yes
TCGA-JY-A93C-01,TCGA-JY-A93C-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.064,6.677,6.22,6.86,5.483,10.6,14.22,13.34,10.73,11.95,High,High,Mid,Mid,High,High,High,High,High,Mid,7,Yes
TCGA-L5-A8NQ-01,TCGA-L5-A8NQ-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.045,4.215,7.864,7.053,4.465,9.275,13.19,13.21,6.635,12.42,High,Mid,High,Mid,Mid,High,High,High,Mid,High,6,Yes
TCGA-2H-A9GF-01,TCGA-2H-A9GF-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.03,1.193,3.577,11.6,8.166,8.073,19.06,12.2,7.292,13.34,High,Mid,Mid,High,High,Mid,High,Mid,Mid,High,5,Yes
TCGA-L5-A88T-01,TCGA-L5-A88T-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,6.02,4.896,8.532,7.686,6.02,8.852,14.45,14.12,9.062,10.65,High,High,High,Mid,High,Mid,High,High,High,Mid,7,Yes
TCGA-IG-A51D-01,TCGA-IG-A51D-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.98,4.383,6.51,5.469,3.272,8.969,12.53,14.61,3.272,12.42,High,Mid,Mid,Mid,Mid,Mid,Mid,High,Mid,High,3,Yes
TCGA-L5-A43E-01,TCGA-L5-A43E-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.963,6.313,8.565,6.812,6.377,9.113,13.63,12.59,12.5,9.315,High,High,High,Mid,High,High,High,Mid,High,Low,7,Yes
TCGA-L5-A4OW-01,TCGA-L5-A4OW-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.956,5.494,7.734,6.907,5.701,9.331,18.28,13.49,10.96,12.95,High,High,High,Mid,High,High,High,High,High,High,9,Yes
TCGA-R6-A8WG-01,TCGA-R6-A8WG-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.933,6.072,3.817,6.3,7.556,9.847,13.35,11.48,6.836,12.73,High,High,Mid,Mid,High,High,High,Mid,Mid,High,6,Yes
TCGA-L5-A4OG-01,TCGA-L5-A4OG-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.87,6.889,6.951,6.529,6.167,11.26,13.06,13.25,6.049,12.15,High,High,High,Mid,High,High,Mid,High,Mid,High,7,Yes
TCGA-XP-A8T6-01,TCGA-XP-A8T6-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.801,5.148,5.634,6.506,6.788,8.824,13.76,13.74,6.128,11.81,High,High,Mid,Mid,High,Mid,High,High,Mid,Mid,5,Yes
TCGA-VR-A8EU-01,TCGA-VR-A8EU-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.762,2.186,1.646,6.406,5.446,8.769,12.2,14.51,1.646,12.71,High,Mid,Low,Mid,High,Mid,Mid,High,Low,High,4,Yes
TCGA-R6-A8WC-01,TCGA-R6-A8WC-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.75,0.6845,0.6845,1.497,6.23,5.577,17.35,12.51,9.117,11.97,High,Low,Low,Low,High,Mid,High,Mid,High,Mid,4,Yes
TCGA-L5-A8NN-01,TCGA-L5-A8NN-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.711,3.857,5.131,5.797,6.928,9.644,13.05,12.47,6.239,12.03,High,Mid,Mid,Mid,High,High,Mid,Mid,Mid,Mid,3,Yes
TCGA-L5-A4OX-01,TCGA-L5-A4OX-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.688,2.74,5.389,5.309,5.428,7.849,13.23,12.53,11.47,11.71,High,Mid,Mid,Low,High,Mid,High,Mid,High,Mid,4,Yes
TCGA-L5-A8NE-01,TCGA-L5-A8NE-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.683,6.852,4.292,4.247,5.596,9.473,13.88,12.64,8.514,12.14,High,High,Mid,Low,High,High,High,High,High,High,8,Yes
TCGA-LN-A49S-01,TCGA-LN-A49S-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.667,4.578,6.643,5.394,6.08,9.698,13.62,13.73,10.88,9.896,High,Mid,Mid,Low,High,High,High,High,High,Low,6,Yes
TCGA-V5-AASV-01,TCGA-V5-AASV-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.613,5.977,4.903,6.548,5.958,9.904,13.83,14.39,14.02,12.23,High,High,Mid,Mid,High,High,High,High,High,High,8,Yes
TCGA-V5-AASW-01,TCGA-V5-AASW-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.583,3.533,2.652,2.492,6.386,7.336,15.0,12.79,11.12,12.05,High,Mid,Mid,Low,High,Mid,High,High,High,Mid,5,Yes
TCGA-L5-A8NM-01,TCGA-L5-A8NM-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.564,5.362,5.61,5.127,5.491,9.687,13.56,12.29,14.15,9.809,High,High,Mid,Low,High,High,High,Mid,High,Low,6,Yes
TCGA-LN-A49L-01,TCGA-LN-A49L-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.538,5.454,5.252,7.197,5.945,10.02,14.29,12.04,5.454,12.99,Mid,High,Mid,Mid,High,High,High,Mid,Mid,High,5,Yes
TCGA-IG-A5S3-01,TCGA-IG-A5S3-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.518,4.779,7.722,6.881,4.526,8.108,12.62,15.77,4.779,12.15,Mid,Mid,High,Mid,Mid,Mid,Mid,High,Mid,High,3,Yes
TCGA-LN-A49P-01,TCGA-LN-A49P-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.455,4.121,7.716,6.839,5.972,10.65,12.08,12.96,5.649,12.02,Mid,Mid,High,Mid,High,High,Mid,High,Mid,Mid,4,Yes
TCGA-L5-A8NH-01,TCGA-L5-A8NH-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.427,6.551,6.15,5.919,4.858,10.12,13.59,13.84,12.2,10.43,Mid,High,Mid,Mid,High,High,High,High,High,Low,6,Yes
TCGA-M9-A5M8-01,TCGA-M9-A5M8-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.395,6.553,5.723,6.264,5.634,10.24,19.03,12.62,14.05,12.53,Mid,High,Mid,Mid,High,High,High,High,High,High,7,Yes
TCGA-IG-A5B8-01,TCGA-IG-A5B8-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.391,2.054,3.924,3.68,5.871,11.09,10.91,14.16,5.832,12.7,Mid,Mid,Mid,Low,High,High,Low,High,Mid,High,4,Yes
TCGA-JY-A6FE-01,TCGA-JY-A6FE-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.374,5.499,2.0,3.999,4.189,9.232,12.6,12.23,3.781,12.99,Mid,High,Low,Low,Mid,High,Mid,Mid,Mid,High,3,Yes
TCGA-L5-A4OR-01,TCGA-L5-A4OR-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.315,5.468,6.177,5.733,5.144,9.17,13.28,13.95,6.744,13.2,Mid,High,Mid,Mid,High,High,High,High,Mid,High,6,Yes
TCGA-VR-A8EP-01,TCGA-VR-A8EP-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.27,2.891,6.695,6.18,8.669,8.829,13.78,13.7,6.994,13.99,Mid,Mid,High,Mid,High,Mid,High,High,Mid,High,5,Yes
TCGA-LN-A9FP-01,TCGA-LN-A9FP-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.26,3.694,7.851,7.217,3.081,8.223,12.24,17.36,5.888,11.63,Mid,Mid,High,Mid,Mid,Mid,Mid,High,Mid,Mid,2,Yes
TCGA-IG-A625-01,TCGA-IG-A625-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.189,3.912,7.49,6.514,5.678,8.894,12.57,14.08,4.96,12.3,Mid,Mid,High,Mid,High,Mid,Mid,High,Mid,High,4,Yes
TCGA-R6-A6DQ-01,TCGA-R6-A6DQ-01,TCGA Esophageal Carcinoma,Primary Tumor,TCGA,Esophagus,5.066,7.73,5.811,5.855,4.333,10.61,12.63,12.49,6.955,12.46,Mid,High,Mid,Mid,Mid,High,Mid,Mid,Mid,High,3,Yes
